captionText,postUrl,username
mimpi makan burger SD yang dibungkus pake kertas abu2 dan isinya daging selembar itu lohhh aduh bm,https://www.threads.com/@maudyeffrosina/post/DdRAdMKo0o-,maudyeffrosina
"Ini yang lagi heboh itu katanya tone deaf itu bukan!?....owh itu maudy ayunda,maaf mungkin karena belum sarapan,yuuk!👇😋",https://www.threads.com/@pras23851/post/DdSRSYoExvy,pras23851
"basic human needs :
1. oxygen 
2. water
3. ganti presiden",https://www.threads.com/@brisha.dln/post/DdQbuMIE4ck,brisha.dln
cancel culture maudy ayunda,https://www.threads.com/@diodenot/post/DdSRKU5AZw1,diodenot
"baru tahu kalau ada ilmu kepekaan sosial😅 maaf saya manusia old, jd g update makul pendidikan sekarang🙏",https://www.threads.com/@nadhifah_s.p/post/DdRxqknAUZz,nadhifah_s.p
"Sebenernya dari aku SMA (karena aku masuk IPS) ini udah ada di pelajaran Sosiologi kak, ilmu kepekaan sosial itu emg ada. Tapi ya itu, kalau dalam prakteknya, masih banyak yg kesulitan untuk menerapkan kepekaan sosial. Dan org dengan kepintaran seperti Maudy Ayunda jg misalnya, belum tentu bisa nerapin itu di dunia sosial",https://www.threads.com/@kentangkejubakar/post/DdSRHlngR8d,kentangkejubakar
"Maudy Ayunda dikritik warganet kurang peka usai rilis konten mindfulness tentang bad news. Apa yang jadi persoalan dan disorot netizen dari konten Maudy? Baca selengkapnya di sini. 

(Prihatini Wahyuningtyas/Tirto.id)

#MultiFlash #MaudyAyunda #mindfulness #badnews",https://www.threads.com/@tirtoid/post/DdSRC7cAfT8,tirtoid
"Kita aja mungkin yg terlalu sensitif nanggepin Maudy Ayunda 

Ok siap! 
Maaf banget ya Kak, 
otak kami yg darurat literasi ini emang belum nyampe buat paham ilmu setinggi itu. 😭🙏

Kita emang kurang paham kalau konten edukasi itu sistemnya kayak outfit, 
kalau gak muat & gak relevan di badan kita yg lagi kelaparan, 

ya tinggal skip aja, 
simpel kan? 

Lagian netizen kok ya baperan banget, 
orang cuma bagi perspektif kok dibilang enggak empati.",https://www.threads.com/@fatur_daqu/post/DdSQ_r6Dk5r,fatur_daqu
"Maksud Mbak Maudy kan baik, kalau dunia lagi hancur, 
yg penting dunia kita sendiri tetep estetik & tenang.

Damai itu pilihan, 
Sis, 
makanya yuk tutup mata bareng2.",https://www.threads.com/@fatur_daqu/post/DdSRAzmDsha,fatur_daqu
"Kita aja mungkin yg terlalu sensitif nanggepin Maudy Ayunda 

Ok siap! 
Maaf banget ya Kak, 
otak kami yg darurat literasi ini emang belum nyampe buat paham ilmu setinggi itu. 😭🙏

Kita emang kurang paham kalau konten edukasi itu sistemnya kayak outfit, 
kalau gak muat & gak relevan di badan kita yg lagi kelaparan, 

ya tinggal skip aja, 
simpel kan? 

Lagian netizen kok ya baperan banget, 
orang cuma bagi perspektif kok dibilang enggak empati.",https://www.threads.com/@fatur_daqu/post/DdSQ_r6Dk5r,fatur_daqu
kemarin nadin amizah sekarang maudy ayunda,https://www.threads.com/@giardiss/post/DdSQ57TExYl,giardiss
maudy ga perna ngerasain mati lampu + mati air langsung keknya... mamam tuh batu bara sampe mokek,https://www.threads.com/@diodenot/post/DdSQ0eJgVZV,diodenot
ini gw ketinggalan berita apa.ada apa sama maudy ayunda.ada yg bisa jelasin,https://www.threads.com/@mademoiselle.lys/post/DdSQwaBEp5s,mademoiselle.lys
maudy ayunda pagi-pagi udah buat ane yapping di status wa.,https://www.threads.com/@vito_rachmawan/post/DdSQtV4EgL1,vito_rachmawan
"Selamat pagi
Maudy ayunda bisi kurang mindfulnes mending lari aja ya. Gausah ngajak² orang yg lagi berjuang tiba² disuruh sabar atas keadaan yang dibuat sama danzo dkk wkwkwkwkkw",https://www.threads.com/@arrizkita/post/DdSSNkqEtiL,arrizkita
"I saw a comment that says:

“Maybe for you it’s just bad news. For others, it’s their reality.”

And that hits me so hard.",https://www.threads.com/@queenchaidy/post/DdQ9bfmmkGh,queenchaidy
Maudy ayunda could never,https://www.threads.com/@amaliazhafarina/post/DdSSGFmEqnM,amaliazhafarina
Orang-orang jahat saat mencoba mindfulness & menjadi penganut stoikisme ala Maudy Ayunda 🥰🥰,https://www.threads.com/@protomolekul/post/DdSSEkmkh1z,protomolekul
"Maudy Ayunda ga baca kritikan rang orang, karena dia lagi menjalankan “mindfulness” 🤪",https://www.threads.com/@cindyaesti/post/DdSSCrkj8q2,cindyaesti
"Aku bikin aturan buat diriku sendiri gabuka hp dr jam pulang kerja smpe pagi. Jd main hpnya kalo jam kerja aja. Alhamdulillah ternyata enak bgt, terpapar berita buruknya cm di jam tertentu doang. Dn di jam2 itu aku ttp ikutin dn dukung apa yg bsa aku dukung.

Apakah itu tone deaf? Menurutku sih engga ya. Jd aku ga relate klo Maudy Ayunda yg membatasi dirinya dr berita buruk diblg tonedeaf😅

Krna tiap org pnya cara buat melindungi dirinya sendiri",https://www.threads.com/@justaisy_/post/DdSR8tBEzPP,justaisy_
"Mungkin pas take video ini bagi Maudy sarapan pake toast dengan telor ceplok omega, cottage cheese dan avocado adalah sarapan sederhana, lalu fafifu wasweswos sambil ngomongin mindfulness bakal didukung warga nih. 

I mean, harga buah kaya alpukat aja udh mahal bgt bagi sebagian orang ye Maudyyy. Gimana mau mindfulllll?? Drpd beli alpukat sekilo mending beli beras, makannya pake indomie kenyang biar abis itu bisa nguli lagi. Yes HEALTHY food di negara kita ini MAHAL. Gaji UMR aja seiprit!",https://www.threads.com/@alvijoon/post/DdRYQ5DFBx7,alvijoon
"Makanya aku dari dulu nggk pernah tertarik ngikutin kehidupan pribadi artis atau influencer, ini aja aku bingung dari kemarin ngapain orang bahas maudy ayunda, setauku dia penyanyi",https://www.threads.com/@zizi1_7247/post/DdSR1xAAXTb,zizi1_7247
"Tiap buka medsos, ada aja berita yang bikin istighfar. Sekarang cuma bisa berdoa demi kebaikan negeri ini. Soalnya aku rakyat jelata, ga mungkin bisa mindfulness kaya Maudy Ayunda.",https://www.threads.com/@hi.mamhanna_/post/DdSR0J6kmR8,hi.mamhanna_
"Bahkan kalau kamu suka buku yang setelah selesai dibaca malah bikin kamu mikir berhari-hari, KAMU JUGA YANG AKU CARI. 😭📚 Aku nggak peduli kamu guru, murid, mahasiswa, pekerja, ibu rumah tangga, pencari kerja, atau orang biasa. Kalau kamu suka membaca dan suka belajar, kita satu frekuensi. 🥹📚 Dear Threads, tolong pertemukan aku dengan mereka. ❤️ POKOKNYA KALAU KAMU SUKA BUKU, MERAPAT SINI. 😭📚 👉 rofiatulmaos.com/buku #rofiatulmaos #pembacabuku #literasiindonesia #bukugratis #pecintabuku",https://www.threads.com/@rofiatulmaos/post/DdSRyvHEr1g,rofiatulmaos
DULU GUE PENGEN BANGET BIKIN AUDIOBOOK ATAU YOUTUBE YANG BAHAS BUKU. Kayak Kak Ferry Irwandi waktu bahas Animal Farm. Kak Maudy Ayunda yang sering banget ngomongin buku. Pak Anies yang juga sering membahas buku dan ide-ide menarik. Dan masih banyak YouTuber lainnya yang merangkum atau membahas inti dari sebuah buku. Gue lihat mereka bisa membuat buku jadi lebih menarik. Dalam hati gue: “Kayaknya seru juga kalau gue bikin yang kayak gitu.” 😆 Tapi masalahnya... GUE NGGAK PEDE. 😭,https://www.threads.com/@rofiatulmaos/post/DdSRyr4EqwJ,rofiatulmaos
"Begini loh intinya.
Orang2 itu expect more dari Maudy Ayunda..",https://www.threads.com/@rarasafiraz/post/DdSRyB6geXH,rarasafiraz
"Terlepas dari berita Maudy Ayunda seperti itu, aku belajar dari konten youtube dia tentang rules satu jam setelah bangun tidur:

20 menit beribadah
20 menit baca buku
20 menit olahraga

Dan beberapa tahun belakangan ini aku juga menerapkan habit seperti ini dan dampaknya luar biasa. Kalau kamu udah menerapkan ini juga belum? Sharing dong 😁",https://www.threads.com/@drikurni/post/DdSQopgExCL,drikurni
"Bicara ttg mindfulness kalau di dunia komunikasi itu layaknya komunikasi yg asertif aja ya gaes

Jangan punya mental yg pasif, as in “Mana mungkin sih aku didengar, I’m just nobody”. Tapi juga bukan mental yg agresif, maksain pendapat kita yg paling benar & dominate the conversation 🫵🏽

Be assertive, bring your value dan ekpresikan dengan tenang. Tau kapan harus bersuara, kapan harus stop & listen. Karena suara kamu berharga!",https://www.threads.com/@firza.daud/post/DdSQjgiE_zK,firza.daud
