url,platform,account_name,followers,date_posted,description,content_type,views,likes,replies,retweet/repost
https://x.com/LambeSahamjja/status/2100012363605020861,Twitter/X,,,Wed Sep 16 00:02:18 +0000 2026,"pandangan windah soal video viral maudy ayunda:
- menurut dia salahnya maudy cuma satu
- salah timing, bukan salah isi
- ngeluarin video soal jaga kewarasan diri pas indonesia lagi banyak bencana
- topiknya nyerempet finansial
- padahal itu lagi sensitif banget
- kalimat protect our sanity di tengah banyak bad news 
- kedengarannya egois dan minim empati kalau dibaca sekarang
- ngomongin ini di publik
- padahal menurut dia lebih cocok dibahas di circle sesama orang mampu
- dia bilang harusnya video ini gak usah diupload, silent is gold
- tapi dia juga bilang isi videonya sendiri gak ada yang salah
- malah bagus dan edukatif
- maudy gak ada niat nyinggung siapa pun
- jadi ini blunder, tapi blunder yang gak bisa diprediksi
- dia gak nyalahin netizen juga",,868380,,175,
https://x.com/whiterosestea/status/2100221646766539095,Twitter/X,,,Wed Sep 16 13:53:55 +0000 2026,"Maudy Ayunda ngomong soal mindfulness, tapi dia tau ga klu anak2 Indonesia di daerah lain mau beli buah, susu, bakso, indomie, sepatu harus nabung dulu. Sementara dia makan roti yg rasanya terlalu sehat aja masih ngeluh

Don’t talk about mindfulness when you can’t even appreciate what’s already on your plate",,574629,,74,
https://x.com/redbananaaaaa/status/2100412617550659806,Twitter/X,,,Thu Sep 17 02:32:46 +0000 2026,"ALWAYS JUDGE PEOPLE BY WHAT THEY READ (and their recs)

Ini rekomendasi buku maudy ayunda (oxford, stanford, poised, articulate, the whole package) and yet her RL juts airport-kiosk nonfiction bestsellers through and through, pure productivity porn, no risk, no weird, no fiction https://t.co/gGMjDEuFCc",,517787,,132,
https://x.com/bardanslm/status/2100175949203738849,Twitter/X,,,Wed Sep 16 10:52:20 +0000 2026,"buzzer maudy ayunda nantangin orang2 di threads malah kena ulti 🗿
kita memang tidak boleh sembarangan di internet, yg muncul bisa macem gibran sampai profesor, ati2 gaesss 

jadi inget kalau gak salah ferry irwandi pernah ngalamin yg mirip2 ya??? https://t.co/IKZwcdSOUb",,211271,,53,
https://x.com/mikrobiotwt/status/2100101954248864248,Twitter/X,,,Wed Sep 16 05:58:18 +0000 2026,"Stoik ala ferry irwandi
Mindful ala maudy ayunda
Islam ala prabowo
Dream girl wallahi",,174175,,38,
https://x.com/supelpowel/status/2100367920065118417,Twitter/X,,,Wed Sep 16 23:35:09 +0000 2026,"Kenapa ya pada seneng banget muja muja artis, padahal juga cinta laura kmren kmren kelakuannya sebelas dua belas sama maudy ayunda, malah dia blg kalo demo bikin macet https://t.co/xLJ5CWmozV",,169598,,63,
https://x.com/strawmanwots/status/2100013250918396146,Twitter/X,,,Wed Sep 16 00:05:50 +0000 2026,🚨 UPDATE! Maudy Ayunda (@maudyayunda) a Indonesian actress was confirmed as tone-deaf and enabler problematic regime after her content about mindfulness viral on social media in a few days ago https://t.co/REkFFLfmOJ,,151391,,6,
https://x.com/LexMarteg/status/2100134637196677555,Twitter/X,,,Wed Sep 16 08:08:10 +0000 2026,"Owalahhhhhhh.........

Jadi ini tohhhh dosa""nya Pak Purbaya Sampek dipecat dgn tidak hormat grakkkk

************************************
Maudy Ayunda Cilok Nuvex Sri Mulyani https://t.co/YK8lcfFSRN",,143169,,143,
https://x.com/qrivasiii/status/2100601538473550075,Twitter/X,,,Thu Sep 17 15:03:28 +0000 2026,"Beyonce telah mengunfollow Maudy Ayunda di Instagram, setelah mengetahui huru hara yang terjadi belakangan ini https://t.co/Dmwa7yQCOx",,130059,,39,
https://x.com/muflihfaqih/status/2100478509600899138,Twitter/X,,,Thu Sep 17 06:54:36 +0000 2026,"stoik ala ferry irwandi
mindful ala maudy ayunda
islam ala prabowo
hompimpah ala yum gambreng",,118317,,65,
https://x.com/GusDikaOfficial/status/2100252980083937687,Twitter/X,,,Wed Sep 16 15:58:25 +0000 2026,"Bagi yang lagi Anies, cobain aktivitas Ganjar dan Purbaya. Mudah-mudahan bisa bikin jadi Maudy Ayunda.. https://t.co/g7j8Go12Ml",,117967,,46,
https://x.com/starfess/status/2100023132597768639,Twitter/X,,,Wed Sep 16 00:45:06 +0000 2026,"-star Akhirnya sudah resmi ya guys, Maudy Ayunda sudah masuk list boikot/cancel culture karena sudah jadi enabler rezim. Mungkin ada lagi enabler rezim yang belum masuk list silahkan komen ya! https://t.co/kNPKTo0B1J",,102530,,7,
https://x.com/rezzm_/status/2100183137720713692,Twitter/X,,,Wed Sep 16 11:20:54 +0000 2026,"Ya emang sih gue ngeliat anak mereka aja kek maudy ayunda dengan segala privilege itu semua, tapi it's not that hard to show some empathy gitu loh hhhhhhh",,77175,,7,
https://x.com/aimr0d/status/2100436418615242806,Twitter/X,,,Thu Sep 17 04:07:21 +0000 2026,Kelupaan nih rekomendasi Maudy Ayunda yang lain must read banget https://t.co/5ccZduf3aB,,76631,,18,
https://x.com/zeavibe/status/2100243711074664705,Twitter/X,,,Wed Sep 16 15:21:36 +0000 2026,"sama aja kayak maudy ayunda bjirrr kalo maudy cuma lihat sekedar bad news, buat rakyat itu bad reality. kalo prabowo bilang sekedar ""perang di dunia maya"" tapi bagi rakyat ini perang tiap hari antara hidup dan mati ya Allah sadarkan beliau ini 😭
kita ini manusia beneran pak, bukan mesin, bukan robot.
ini semua bad news semua beneran pak terjadi di kehidupan nyata. gak bohong.",,57858,,13,
https://x.com/GusDikaOfficial/status/2100107947670151584,Twitter/X,,,Wed Sep 16 06:22:07 +0000 2026,Kalian baru tau kah kalo Maudy ayunda itu sombong dan tone deaf ? Padahal dari dulu keliatan banget anaknya FAKE!,,51616,,25,
